iter	RMSE
0	0.03254553611
1	0.03311319208
2	0.03249097524
3	0.02966751357
4	0.02964034854
5	0.02961771288
6	0.03295691775
7	0.02957331701
8	0.02954933049
9	0.02952342209
10	0.03222248546
11	0.0321789588
12	0.03214145247
13	0.03211033035
14	0.03207357101
115	0.02937860423116	0.02935472041717	0.02933343365
18	0.02930729837
19	0.02929270707
20	0.02927190929
21	0.02924386029
22	0.02922880972323	0.02918961502424	0.02917779732525	0.029167195726	0.03165874559227	0.0316260175328	0.03231728744
29	0.03228646304
3330	0.0290610977
31	0.02904496004
32	0.02901962107
33	0.02900824661
34	0.02897640585
35	0.02895979335
36	0.02893813138
37	0.02891420543
38	0.0288902203
39	0.02886731621
40	0.02884527784
41	0.02882530066
42	0.02880020372
43	0.02877734258
44	0.02876154925
45	0.0287381224
46	0.02871688357
47	0.02869473968
48	0.02867377876
49	0.02865914513
50	0.02863211764
51	0.02861200519
52	0.02859372739
53	0.02856589057
54	0.02854598019
55	0.0285361718
56	0.02851207215
57	0.0284911178
58	0.02846927245
59	0.02844561145
60	0.02842126145
61	0.02840633362
62	0.02838272129
63	0.02836477841
64	0.02835020294
65	0.02832727278
66	0.02830549694
67	0.02828123215
68	0.02826103931
69	0.02823320798
70	0.02820807977
71	0.02819344943
72	0.0281647908
73	0.02815149794
74	0.02813393618
75	0.02811523416
76	0.02809662925
77	0.02807686157
78	0.02805979207
79	0.02804300086
80	0.0280218605
81	0.0280003362
82	0.02797911269
83	0.02796015795
84	0.02793255178
85	0.0279084186
86	0.027890717
87	0.02787562585
88	0.02785533755
89	0.0278311148
90	0.02781668809
91	0.02779720084
92	0.02777432763
93	0.02775205891
94	0.02773158137
95	0.02771745279
96	0.02769653876
97	0.02767995634
98	0.0276651679
99	0.02764295352
100	0.02762816483
101	0.02761303006
102	0.02759372935
103	0.02757318283
104	0.02754843603
105	0.02753541536
106	0.02752483143
107	0.0275113292
108	0.02749483595
109	0.02746969861
110	0.0274554667
111	0.02744196659
112	0.02742852451
113	0.02740887848
114	0.02739620064
115	0.0273778379
116	0.02736513396
117	0.02734871382
118	0.0273293215
119	0.02730083498
120	0.02727683439
121	0.02726094112
122	0.02723832212
123	0.02721140131
124	0.02719409503
125	0.02717451992
126	0.0271509935
127	0.02713524819
128	0.02711125585
129	0.0270861105
130	0.02707136604
131	0.02705771437
132	0.0270430686
133	0.02702711225
134	0.02701170083
135	0.02699488527
136	0.02697147773
137	0.02695032254
138	0.0269329104
139	0.02691644249
140	0.02689861006
141	0.02688333072
142	0.02686951441
143	0.02685458112
144	0.02684175742
145	0.02682717889
146	0.02681199549
147	0.02679499414
148	0.02677884934
149	0.02675779617
150	0.02674169474
151	0.02672486564
152	0.02670554609
153	0.0266914854
154	0.02666819771
155	0.02665890211
156	0.02664746993
157	0.02662694545
158	0.02660489278
159	0.02657604511
160	0.02655498144
161	0.02652906525
162	0.02651558453
163	0.02649295882
164	0.02647801461
165	0.02645185647
166	0.0264381166
167	0.02641997
168	0.02640434702
169	0.02639033626
170	0.0263810982
171	0.02637044403
172	0.02635748954
173	0.02634781446
174	0.02633352773
175	0.02631397664
176	0.02629574292
177	0.02627376286
178	0.02626215972
179	0.02625100139
180	0.02623549072
181	0.02621867374
182	0.02620446854
183	0.02619308879
184	0.02617916384
185	0.02615270686
186	0.02613472503
187	0.02612207202
188	0.02611139148
189	0.0260844863
190	0.02606831743
191	0.02605713622
192	0.02603847244
193	0.0260256636
194	0.02601243461
195	0.0259935167
196	0.02597403056
197	0.02595724779
198	0.0259381419
199	0.02591862883
	0.02802894463
